10,50,100,500,1000,2000,5000,
1.16284,2.88339,4.28581,9.06584,12.9538,18.1329,28.8472,
1.29574,3.34913,3.90294,8.89383,13.4696,18.1709,28.8901,
1.14246,2.84348,3.66456,8.88347,12.7849,18.4991,28.6162,
1.05148,3.15224,4.03809,9.44726,12.8813,18.586,29.0378,
1.15376,3.01176,4.13743,8.81961,13.0177,18.3418,29.0183,
1.37869,3.27464,3.97509,9.04355,12.9233,18.3988,28.8187,
1.41263,2.8303,4.10333,9.14949,13.3643,18.351,29.2318,
1.50461,2.94396,4.1475,9.34944,13.1106,18.3864,28.9321,
1.56001,3.08569,4.08671,9.02527,12.8039,17.9347,29.2178,
1.77429,3.07505,4.34565,8.95746,12.7035,18.1532,28.8642,
1.26586,2.96739,4.30704,8.89327,12.797,18.5966,29.0684,
0.862317,2.60242,4.32518,9.16429,13.1622,17.9136,28.8816,
1.33445,2.73379,4.17304,9.45125,13.1517,18.5649,28.4701,
1.56562,3.09543,4.09818,9.4007,12.8211,18.8149,28.8474,
1.58512,3.29965,4.16159,9.05859,12.6033,18.664,28.8758,
1.71551,2.97464,3.7601,9.08671,12.5932,18.7594,28.7081,
1.73931,2.89442,3.91646,9.3446,13.0557,18.4116,28.5843,
1.12429,3.16296,4.19955,8.41022,12.8023,18.1455,29.2588,
1.23629,2.95932,3.8065,8.90582,13.1384,18.5915,29.1412,
1.82463,2.7931,4.34388,9.55354,12.8527,18.7542,29.1146,
1.3102,3.00929,3.7794,9.11934,13.1151,18.1119,28.8461,
1.33805,2.75924,3.87537,9.43196,12.688,17.9448,28.9143,
1.348,2.71304,3.77058,9.25441,12.588,18.5524,28.8955,
1.24668,2.51688,3.94378,8.63647,12.843,18.6251,29.3283,
1.24449,2.73781,4.3287,8.99895,12.9301,18.2343,28.5886,
1.16685,2.74021,3.94431,8.86961,12.755,18.0266,28.9158,
0.926932,2.98888,3.70392,9.13348,12.7349,18.3426,28.8953,
1.48282,2.79096,3.76455,9.10465,12.9918,18.4683,29.0576,
1.40164,2.93021,4.01621,9.39678,12.7245,18.4124,29.4088,
1.17917,3.16472,4.09431,8.71378,12.8492,18.4028,28.6284,
1.42095,2.94845,4.35449,9.30022,12.903,18.362,28.9716,
1.1296,3.10412,3.6447,9.35232,13.0442,18.4667,29.1167,
1.1096,2.80919,4.42541,9.18922,12.805,18.3321,28.9957,
1.57838,2.79699,3.685,9.21458,13.3418,18.1378,28.8478,
